2020-04-19 11:17:18.892232	AT+SBDREG

2020-04-19 11:17:19.909016	session started at 2020-04-19-111719
2020-04-19 11:17:19.910457	listener started
2020-04-19 11:17:19.915224	packet:
2020-04-19 11:17:19.915596	['AT+SBDREG\r\n', '\r\n', '+SBDREG:2,36\r\n', '\r\n', 'OK\r\n']
2020-04-19 11:18:52.007664	AT+SBDWT=RB0012851

2020-04-19 11:18:53.020162	packet:
2020-04-19 11:18:53.020547	['AT+SBDWT=RB0012851\r\n', '\r\n', 'OK\r\n']
2020-04-19 11:18:53.020849	initiating session....
2020-04-19 11:18:53.021100	AT+SBDIX

2020-04-19 11:18:54.024195	packet:
2020-04-19 11:18:54.024526	['AT+SBDIX\r\n']
2020-04-19 11:18:55.030568	packet:
2020-04-19 11:18:55.030950	['\r\n', '+SBDIX: 0, 760, 0, 0, 0, 0\r\n', '\r\n', 'OK\r\n']
2020-04-19 11:18:55.031276	mo: 0
2020-04-19 11:18:55.031512	mt: 0
2020-04-19 11:18:55.031767	message sent
2020-04-19 11:18:55.031984	AT+SBDD0

2020-04-19 11:18:56.033519	no messages at gateway
2020-04-19 11:18:57.038033	packet:
2020-04-19 11:18:57.038427	['AT+SBDD0\r\n', '\r\n', '0\r\n', '\r\n', 'OK\r\n']
